"tmID","year","homeWon","homeLost","awayWon","awayLost","neutWon","neutLoss","won","lost","games"
"SEA","1989","30","11","11","30","0","0","41","41","82"
"UTA","1989","36","5","19","22","0","0","55","27","82"
"WSB","1989","20","21","11","30","0","0","31","51","82"
"ATL","1990","29","12","14","27","0","0","43","39","82"
"BOS","1990","35","6","21","20","0","0","56","26","82"
"CHH","1990","17","24","9","32","0","0","26","56","82"
"CHI","1990","35","6","26","15","0","0","61","21","82"
"CLE","1990","23","18","10","31","0","0","33","49","82"
"DAL","1990","20","21","8","33","0","0","28","54","82"
"DEN","1990","17","24","3","38","0","0","20","62","82"
"DET","1990","32","9","18","23","0","0","50","32","82"
"GSW","1990","30","11","14","27","0","0","44","38","82"
"HOU","1990","31","10","21","20","0","0","52","30","82"
"IND","1990","29","12","12","29","0","0","41","41","82"
"LAC","1990","23","18","8","33","0","0","31","51","82"
"LAL","1990","33","8","25","16","0","0","58","24","82"
"MIA","1990","18","23","6","35","0","0","24","58","82"
"MIL","1990","33","8","15","26","0","0","48","34","82"
"MIN","1990","21","20","8","33","0","0","29","53","82"
"NJN","1990","20","21","6","35","0","0","26","56","82"
"NYK","1990","21","20","18","23","0","0","39","43","82"
"ORL","1990","24","17","7","34","0","0","31","51","82"
"PHI","1990","29","12","15","26","0","0","44","38","82"
"PHO","1990","32","9","23","18","0","0","55","27","82"
"POR","1990","36","5","27","14","0","0","63","19","82"
"SAC","1990","24","17","1","40","0","0","25","57","82"
"SAS","1990","33","8","22","19","0","0","55","27","82"
"SEA","1990","28","13","13","28","0","0","41","41","82"
"UTA","1990","36","5","18","23","0","0","54","28","82"
"WSB","1990","21","20","9","32","0","0","30","52","82"
"ATL","1991","23","18","15","26","0","0","38","44","82"
"BOS","1991","34","7","17","24","0","0","51","31","82"
"CHH","1991","22","19","9","32","0","0","31","51","82"
"CHI","1991","36","5","31","10","0","0","67","15","82"
"CLE","1991","35","6","22","19","0","0","57","25","82"
"DAL","1991","15","26","7","34","0","0","22","60","82"
"DEN","1991","18","23","6","35","0","0","24","58","82"
"DET","1991","25","16","23","18","0","0","48","34","82"
"GSW","1991","31","10","24","17","0","0","55","27","82"
"HOU","1991","28","13","14","27","0","0","42","40","82"
"IND","1991","26","15","14","27","0","0","40","42","82"
"LAC","1991","29","12","16","25","0","0","45","37","82"
"LAL","1991","24","17","19","22","0","0","43","39","82"
"MIA","1991","28","13","10","31","0","0","38","44","82"
"MIL","1991","25","16","6","35","0","0","31","51","82"
"MIN","1991","9","32","6","35","0","0","15","67","82"
"NJN","1991","25","16","15","26","0","0","40","42","82"
"NYK","1991","30","11","21","20","0","0","51","31","82"
"ORL","1991","13","28","8","33","0","0","21","61","82"
"PHI","1991","23","18","12","29","0","0","35","47","82"
"PHO","1991","36","5","17","24","0","0","53","29","82"
"POR","1991","33","8","24","17","0","0","57","25","82"
"SAC","1991","21","20","8","33","0","0","29","53","82"
"SAS","1991","31","10","16","25","0","0","47","35","82"
"SEA","1991","28","13","19","22","0","0","47","35","82"
"UTA","1991","37","4","18","23","0","0","55","27","82"
"WSB","1991","14","27","11","30","0","0","25","57","82"
"ATL","1992","25","16","18","23","0","0","43","39","82"
"BOS","1992","28","13","20","21","0","0","48","34","82"
"CHH","1992","22","19","22","19","0","0","44","38","82"
"CHI","1992","31","10","26","15","0","0","57","25","82"
"CLE","1992","35","6","19","22","0","0","54","28","82"
"DAL","1992","7","34","4","37","0","0","11","71","82"
"DEN","1992","28","13","8","33","0","0","36","46","82"
"DET","1992","28","13","12","29","0","0","40","42","82"
"GSW","1992","19","22","15","26","0","0","34","48","82"
"HOU","1992","31","10","24","17","0","0","55","27","82"
"IND","1992","27","14","14","27","0","0","41","41","82"
"LAC","1992","27","14","14","27","0","0","41","41","82"
"LAL","1992","20","21","19","22","0","0","39","43","82"
"MIA","1992","26","15","10","31","0","0","36","46","82"
"MIL","1992","18","23","10","31","0","0","28","54","82"
"MIN","1992","11","30","8","33","0","0","19","63","82"
"NJN","1992","26","15","17","24","0","0","43","39","82"
"NYK","1992","37","4","23","18","0","0","60","22","82"
"ORL","1992","27","14","14","27","0","0","41","41","82"
"PHI","1992","15","26","11","30","0","0","26","56","82"
"PHO","1992","35","6","27","14","0","0","62","20","82"
"POR","1992","30","11","21","20","0","0","51","31","82"
"SAC","1992","16","25","9","32","0","0","25","57","82"
"SAS","1992","31","10","18","23","0","0","49","33","82"
"SEA","1992","33","8","22","19","0","0","55","27","82"
"UTA","1992","28","13","19","22","0","0","47","35","82"
"WSB","1992","15","26","7","34","0","0","22","60","82"
"ATL","1993","36","5","21","20","0","0","57","25","82"
"BOS","1993","18","23","14","27","0","0","32","50","82"
"CHH","1993","28","13","13","28","0","0","41","41","82"
"CHI","1993","31","10","24","17","0","0","55","27","82"
"CLE","1993","31","10","16","25","0","0","47","35","82"
"DAL","1993","6","35","7","34","0","0","13","69","82"
"DEN","1993","28","13","14","27","0","0","42","40","82"
"DET","1993","10","31","10","31","0","0","20","62","82"
"GSW","1993","29","12","21","20","0","0","50","32","82"
"HOU","1993","35","6","23","18","0","0","58","24","82"
"IND","1993","29","12","18","23","0","0","47","35","82"
"LAC","1993","17","24","10","31","0","0","27","55","82"
"LAL","1993","21","20","12","29","0","0","33","49","82"
"MIA","1993","22","19","20","21","0","0","42","40","82"
"MIL","1993","11","30","9","32","0","0","20","62","82"
"MIN","1993","13","28","7","34","0","0","20","62","82"
"NJN","1993","29","12","16","25","0","0","45","37","82"
"NYK","1993","32","9","25","16","0","0","57","25","82"
"ORL","1993","31","10","19","22","0","0","50","32","82"
"PHI","1993","15","26","10","31","0","0","25","57","82"
"PHO","1993","36","5","20","21","0","0","56","26","82"
"POR","1993","30","11","17","24","0","0","47","35","82"
"SAC","1993","20","21","8","33","0","0","28","54","82"
"SAS","1993","32","9","23","18","0","0","55","27","82"
"SEA","1993","37","4","26","15","0","0","63","19","82"
"UTA","1993","33","8","20","21","0","0","53","29","82"
"WSB","1993","17","24","7","34","0","0","24","58","82"
"ATL","1994","24","17","18","23","0","0","42","40","82"
"BOS","1994","20","21","15","26","0","0","35","47","82"
"CHH","1994","29","12","21","20","0","0","50","32","82"
"CHI","1994","28","13","19","22","0","0","47","35","82"
"CLE","1994","26","15","17","24","0","0","43","39","82"
"DAL","1994","19","22","17","24","0","0","36","46","82"
"DEN","1994","23","18","18","23","0","0","41","41","82"
"DET","1994","22","19","6","35","0","0","28","54","82"
"GSW","1994","15","26","11","30","0","0","26","56","82"
"HOU","1994","25","16","22","19","0","0","47","35","82"
"IND","1994","33","8","19","22","0","0","52","30","82"
"LAC","1994","13","28","4","37","0","0","17","65","82"
"LAL","1994","29","12","19","22","0","0","48","34","82"
"MIA","1994","22","19","10","31","0","0","32","50","82"
"MIL","1994","22","19","12","29","0","0","34","48","82"
"MIN","1994","13","28","8","33","0","0","21","61","82"
"NJN","1994","20","21","10","31","0","0","30","52","82"
"NYK","1994","29","12","26","15","0","0","55","27","82"
"ORL","1994","39","2","18","23","0","0","57","25","82"
"PHI","1994","14","27","10","31","0","0","24","58","82"
"PHO","1994","32","9","27","14","0","0","59","23","82"
"POR","1994","26","15","18","23","0","0","44","38","82"
"SAC","1994","27","14","12","29","0","0","39","43","82"
"SAS","1994","33","8","29","12","0","0","62","20","82"
"SEA","1994","32","9","25","16","0","0","57","25","82"
"UTA","1994","33","8","27","14","0","0","60","22","82"
"WSB","1994","13","28","8","33","0","0","21","61","82"
"ATL","1995","26","15","20","21","0","0","46","36","82"
"BOS","1995","18","23","15","26","0","0","33","49","82"
"CHH","1995","25","16","16","25","0","0","41","41","82"
"CHI","1995","39","2","33","8","0","0","72","10","82"
"CLE","1995","26","15","21","20","0","0","47","35","82"
"DAL","1995","16","25","10","31","0","0","26","56","82"
"DEN","1995","24","17","11","30","0","0","35","47","82"
"DET","1995","30","11","16","25","0","0","46","36","82"
"GSW","1995","23","18","13","28","0","0","36","46","82"
"HOU","1995","27","14","21","20","0","0","48","34","82"
"IND","1995","32","9","20","21","0","0","52","30","82"
"LAC","1995","19","22","10","31","0","0","29","53","82"
"LAL","1995","30","11","23","18","0","0","53","29","82"
"MIA","1995","26","15","16","25","0","0","42","40","82"
"MIL","1995","14","27","11","30","0","0","25","57","82"
"MIN","1995","17","24","9","32","0","0","26","56","82"
"NJN","1995","20","21","10","31","0","0","30","52","82"
"NYK","1995","26","15","21","20","0","0","47","35","82"
"ORL","1995","37","4","23","18","0","0","60","22","82"
"PHI","1995","11","30","7","34","0","0","18","64","82"
"PHO","1995","25","16","16","25","0","0","41","41","82"
"POR","1995","26","15","18","23","0","0","44","38","82"
"SAC","1995","26","15","13","28","0","0","39","43","82"
"SAS","1995","33","8","26","15","0","0","59","23","82"
"SEA","1995","38","3","26","15","0","0","64","18","82"
"TOR","1995","15","26","6","35","0","0","21","61","82"
"UTA","1995","34","7","21","20","0","0","55","27","82"
"VAN","1995","10","31","5","36","0","0","15","67","82"
"WSB","1995","25","16","14","27","0","0","39","43","82"
"ATL","1996","36","5","20","21","0","0","56","26","82"
"BOS","1996","11","30","4","37","0","0","15","67","82"
"CHH","1996","30","11","24","17","0","0","54","28","82"
"CHI","1996","39","2","30","11","0","0","69","13","82"
"CLE","1996","25","16","17","24","0","0","42","40","82"
"DAL","1996","14","27","10","31","0","0","24","58","82"
"DEN","1996","12","29","9","32","0","0","21","61","82"
"DET","1996","30","11","24","17","0","0","54","28","82"
"GSW","1996","18","23","12","29","0","0","30","52","82"
"HOU","1996","30","11","27","14","0","0","57","25","82"
"IND","1996","21","20","18","23","0","0","39","43","82"
"LAC","1996","21","20","15","26","0","0","36","46","82"
"LAL","1996","31","10","25","16","0","0","56","26","82"
"MIA","1996","29","12","32","9","0","0","61","21","82"
"MIL","1996","20","21","13","28","0","0","33","49","82"
"MIN","1996","25","16","15","26","0","0","40","42","82"
"NJN","1996","16","25","10","31","0","0","26","56","82"
"NYK","1996","31","10","26","15","0","0","57","25","82"
"ORL","1996","26","15","19","22","0","0","45","37","82"
"PHI","1996","11","30","11","30","0","0","22","60","82"
"PHO","1996","25","16","15","26","0","0","40","42","82"
"POR","1996","29","12","20","21","0","0","49","33","82"
"SAC","1996","22","19","12","29","0","0","34","48","82"
"SAS","1996","12","29","8","33","0","0","20","62","82"
"SEA","1996","31","10","26","15","0","0","57","25","82"
"TOR","1996","18","23","12","29","0","0","30","52","82"
"UTA","1996","38","3","26","15","0","0","64","18","82"
"VAN","1996","8","33","6","35","0","0","14","68","82"
"WSB","1996","25","16","19","22","0","0","44","38","82"
"ATL","1997","29","12","21","20","0","0","50","32","82"
"BOS","1997","24","17","12","29","0","0","36","46","82"
"CHH","1997","32","9","19","22","0","0","51","31","82"
"CHI","1997","37","4","25","16","0","0","62","20","82"
"CLE","1997","27","14","20","21","0","0","47","35","82"
"DAL","1997","13","28","7","34","0","0","20","62","82"
"DEN","1997","9","32","2","39","0","0","11","71","82"
"DET","1997","25","16","12","29","0","0","37","45","82"
"GSW","1997","12","29","7","34","0","0","19","63","82"
"HOU","1997","24","17","17","24","0","0","41","41","82"
"IND","1997","32","9","26","15","0","0","58","24","82"
"LAC","1997","11","30","6","35","0","0","17","65","82"
"LAL","1997","33","8","28","13","0","0","61","21","82"
"MIA","1997","30","11","25","16","0","0","55","27","82"
"MIL","1997","21","20","15","26","0","0","36","46","82"
"MIN","1997","26","15","19","22","0","0","45","37","82"
"NJN","1997","26","15","17","24","0","0","43","39","82"
"NYK","1997","28","13","15","26","0","0","43","39","82"
"ORL","1997","24","17","17","24","0","0","41","41","82"
"PHI","1997","19","22","12","29","0","0","31","51","82"
"PHO","1997","30","11","26","15","0","0","56","26","82"
"POR","1997","26","15","20","21","0","0","46","36","82"
"SAC","1997","21","20","6","35","0","0","27","55","82"
"SAS","1997","31","10","25","16","0","0","56","26","82"
"SEA","1997","35","6","26","15","0","0","61","21","82"
"TOR","1997","9","32","7","34","0","0","16","66","82"
"UTA","1997","36","5","26","15","0","0","62","20","82"
"VAN","1997","14","27","5","36","0","0","19","63","82"
"WAS","1997","24","17","18","23","0","0","42","40","82"
"ATL","1998","16","9","15","10","0","0","31","19","50"
"BOS","1998","10","15","9","16","0","0","19","31","50"
"CHH","1998","16","9","10","15","0","0","26","24","50"
"CHI","1998","8","17","5","20","0","0","13","37","50"
"CLE","1998","15","10","7","18","0","0","22","28","50"
"DAL","1998","15","10","4","21","0","0","19","31","50"
"DEN","1998","12","13","2","23","0","0","14","36","50"
"DET","1998","17","8","12","13","0","0","29","21","50"
"GSW","1998","13","12","8","17","0","0","21","29","50"
"HOU","1998","19","6","12","13","0","0","31","19","50"
"IND","1998","18","7","15","10","0","0","33","17","50"
"LAC","1998","6","19","3","22","0","0","9","41","50"
"LAL","1998","18","7","13","12","0","0","31","19","50"
"MIA","1998","18","7","15","10","0","0","33","17","50"
"MIL","1998","17","8","11","14","0","0","28","22","50"
"MIN","1998","18","7","7","18","0","0","25","25","50"
"NJN","1998","12","13","4","21","0","0","16","34","50"
"NYK","1998","19","6","8","17","0","0","27","23","50"
"ORL","1998","21","4","12","13","0","0","33","17","50"
"PHI","1998","17","8","11","14","0","0","28","22","50"
"PHO","1998","15","10","12","13","0","0","27","23","50"
"POR","1998","22","3","13","12","0","0","35","15","50"
"SAC","1998","16","9","11","14","0","0","27","23","50"
"SAS","1998","21","4","16","9","0","0","37","13","50"
"SEA","1998","17","8","8","17","0","0","25","25","50"
"TOR","1998","14","11","9","16","0","0","23","27","50"
"UTA","1998","22","3","15","10","0","0","37","13","50"
"VAN","1998","7","18","1","24","0","0","8","42","50"
"WAS","1998","13","12","5","20","0","0","18","32","50"
"ATL","1999","21","20","7","34","0","0","28","54","82"
"BOS","1999","26","15","9","32","0","0","35","47","82"
"CHH","1999","30","11","19","22","0","0","49","33","82"
"CHI","1999","12","29","5","36","0","0","17","65","82"
"CLE","1999","22","19","10","31","0","0","32","50","82"
"DAL","1999","22","19","18","23","0","0","40","42","82"
"DEN","1999","25","16","10","31","0","0","35","47","82"
"DET","1999","27","14","15","26","0","0","42","40","82"
"GSW","1999","12","29","7","34","0","0","19","63","82"
"HOU","1999","22","19","12","29","0","0","34","48","82"
"IND","1999","36","5","20","21","0","0","56","26","82"
"LAC","1999","10","31","5","36","0","0","15","67","82"
"LAL","1999","36","5","31","10","0","0","67","15","82"
"MIA","1999","33","8","19","22","0","0","52","30","82"
"MIL","1999","23","18","19","22","0","0","42","40","82"
"MIN","1999","26","15","24","17","0","0","50","32","82"
"NJN","1999","22","19","9","32","0","0","31","51","82"
"NYK","1999","33","8","17","24","0","0","50","32","82"
"ORL","1999","26","15","15","26","0","0","41","41","82"
"PHI","1999","29","12","20","21","0","0","49","33","82"
"PHO","1999","32","9","21","20","0","0","53","29","82"
"POR","1999","30","11","29","12","0","0","59","23","82"
"SAC","1999","30","11","14","27","0","0","44","38","82"
"SAS","1999","31","10","22","19","0","0","53","29","82"
"SEA","1999","24","17","21","20","0","0","45","37","82"
"TOR","1999","26","15","19","22","0","0","45","37","82"
"UTA","1999","31","10","24","17","0","0","55","27","82"
"VAN","1999","12","29","10","31","0","0","22","60","82"
"WAS","1999","17","24","12","29","0","0","29","53","82"
"ATL","2000","18","23","7","34","0","0","25","57","82"
"BOS","2000","20","21","16","25","0","0","36","46","82"
"CHH","2000","28","13","18","23","0","0","46","36","82"
"CHI","2000","10","31","5","36","0","0","15","67","82"
"CLE","2000","20","21","10","31","0","0","30","52","82"
"DAL","2000","28","13","25","16","0","0","53","29","82"
"DEN","2000","29","12","11","30","0","0","40","42","82"
"DET","2000","18","23","14","27","0","0","32","50","82"
"GSW","2000","11","30","6","35","0","0","17","65","82"
"HOU","2000","24","17","21","20","0","0","45","37","82"
"IND","2000","26","15","15","26","0","0","41","41","82"
"LAC","2000","22","19","9","32","0","0","31","51","82"
"LAL","2000","31","10","25","16","0","0","56","26","82"
"MIA","2000","29","12","21","20","0","0","50","32","82"
"MIL","2000","31","10","21","20","0","0","52","30","82"
"MIN","2000","30","11","17","24","0","0","47","35","82"
"NJN","2000","18","23","8","33","0","0","26","56","82"
"NYK","2000","30","11","18","23","0","0","48","34","82"
"ORL","2000","26","15","17","24","0","0","43","39","82"
"PHI","2000","29","12","27","14","0","0","56","26","82"
"PHO","2000","31","10","20","21","0","0","51","31","82"
"POR","2000","28","13","22","19","0","0","50","32","82"
"SAC","2000","33","8","22","19","0","0","55","27","82"
"SAS","2000","33","8","25","16","0","0","58","24","82"
"SEA","2000","26","15","18","23","0","0","44","38","82"
"TOR","2000","27","14","20","21","0","0","47","35","82"
"UTA","2000","28","13","25","16","0","0","53","29","82"
"VAN","2000","15","26","8","33","0","0","23","59","82"
"WAS","2000","12","29","7","34","0","0","19","63","82"
"ATL","2001","23","18","10","31","0","0","33","49","82"
"BOS","2001","27","14","22","19","0","0","49","33","82"
"CHH","2001","21","20","23","18","0","0","44","38","82"
"CHI","2001","14","27","7","34","0","0","21","61","82"
"CLE","2001","20","21","9","32","0","0","29","53","82"
"DAL","2001","30","11","27","14","0","0","57","25","82"
"DEN","2001","20","21","7","34","0","0","27","55","82"
"DET","2001","26","15","24","17","0","0","50","32","82"
"GSW","2001","14","27","7","34","0","0","21","61","82"
"HOU","2001","18","23","10","31","0","0","28","54","82"
"IND","2001","25","16","17","24","0","0","42","40","82"
"LAC","2001","25","16","14","27","0","0","39","43","82"
"LAL","2001","34","7","24","17","0","0","58","24","82"
"MEM","2001","15","26","8","33","0","0","23","59","82"
"MIA","2001","18","23","18","23","0","0","36","46","82"
"MIL","2001","25","16","16","25","0","0","41","41","82"
"MIN","2001","29","12","21","20","0","0","50","32","82"
"NJN","2001","33","8","19","22","0","0","52","30","82"
"NYK","2001","19","22","11","30","0","0","30","52","82"
"ORL","2001","27","14","17","24","0","0","44","38","82"
"PHI","2001","22","19","21","20","0","0","43","39","82"
"PHO","2001","23","18","13","28","0","0","36","46","82"
"POR","2001","30","11","19","22","0","0","49","33","82"
"SAC","2001","36","5","25","16","0","0","61","21","82"
"SAS","2001","32","9","26","15","0","0","58","24","82"
"SEA","2001","26","15","19","22","0","0","45","37","82"
"TOR","2001","24","17","18","23","0","0","42","40","82"
"UTA","2001","25","16","19","22","0","0","44","38","82"
"WAS","2001","22","19","15","26","0","0","37","45","82"
"ATL","2002","26","15","9","32","0","0","35","47","82"
"BOS","2002","25","16","19","22","0","0","44","38","82"
"CHI","2002","27","14","3","38","0","0","30","52","82"
"CLE","2002","14","27","3","38","0","0","17","65","82"
"DAL","2002","33","8","27","14","0","0","60","22","82"
"DEN","2002","13","28","4","37","0","0","17","65","82"
"DET","2002","30","11","20","21","0","0","50","32","82"
"GSW","2002","24","17","14","27","0","0","38","44","82"
"HOU","2002","28","13","15","26","0","0","43","39","82"
"IND","2002","32","9","16","25","0","0","48","34","82"
"LAC","2002","16","25","11","30","0","0","27","55","82"
"LAL","2002","31","10","19","22","0","0","50","32","82"
"MEM","2002","20","21","8","33","0","0","28","54","82"
"MIA","2002","16","25","9","32","0","0","25","57","82"
"MIL","2002","25","16","17","24","0","0","42","40","82"
"MIN","2002","33","8","18","23","0","0","51","31","82"
"NJN","2002","33","8","16","25","0","0","49","33","82"
"NOH","2002","29","12","18","23","0","0","47","35","82"
"NYK","2002","24","17","13","28","0","0","37","45","82"
"ORL","2002","26","15","16","25","0","0","42","40","82"
"PHI","2002","25","16","23","18","0","0","48","34","82"
"PHO","2002","30","11","14","27","0","0","44","38","82"
"POR","2002","27","14","23","18","0","0","50","32","82"
"SAC","2002","35","6","24","17","0","0","59","23","82"
"SAS","2002","33","8","27","14","0","0","60","22","82"
"SEA","2002","25","16","15","26","0","0","40","42","82"
"TOR","2002","15","26","9","32","0","0","24","58","82"
"UTA","2002","29","12","18","23","0","0","47","35","82"
"WAS","2002","23","18","14","27","0","0","37","45","82"
"ATL","2003","18","23","10","31","0","0","28","54","82"
"BOS","2003","19","22","17","24","0","0","36","46","82"
"CHI","2003","14","27","9","32","0","0","23","59","82"
"CLE","2003","23","18","12","29","0","0","35","47","82"
"DAL","2003","36","5","16","25","0","0","52","30","82"
"DEN","2003","29","12","14","27","0","0","43","39","82"
"DET","2003","31","10","23","18","0","0","54","28","82"
"GSW","2003","27","14","10","31","0","0","37","45","82"
"HOU","2003","27","14","18","23","0","0","45","37","82"
"IND","2003","34","7","27","14","0","0","61","21","82"
"LAC","2003","18","23","10","31","0","0","28","54","82"
